50, 1, 4433
50, 2, 6179
50, 3, 7223
50, 4, 7799
50, 5, 8153
50, 6, 8323
50, 7, 8782
100, 1, 6113
100, 2, 8400
100, 3, 9358
100, 4, 10195
100, 5, 10433
100, 6, 10404
100, 7, 10825
100, 8, 10988
100, 9, 10959
100, 10, 11151
150, 1, 6371
150, 2, 8734
150, 3, 9206
150, 4, 10288
150, 5, 10758
150, 6, 10967
150, 7, 9480
200, 1, 6375
200, 2, 8630
200, 3, 9857
200, 4, 10591
200, 5, 10780
200, 6, 10901
200, 7, 11312
200, 8, 11365
200, 9, 11133
200, 10, 11254
250, 1, 6402
250, 2, 8557
250, 3, 9736
250, 4, 10763
250, 5, 10836
250, 6, 10452
250, 7, 10929
250, 8, 11184
250, 9, 11335
250, 10, 11202
300, 1, 6384
300, 2, 8513
300, 3, 9872
300, 4, 10445
300, 5, 10666
300, 6, 10776
300, 7, 11097
300, 8, 11313
300, 9, 11133
300, 10, 11277
350, 1, 6530
350, 2, 8727
350, 3, 9803
350, 4, 10478
350, 5, 10792
350, 6, 10553
350, 7, 10826
350, 8, 11167
350, 9, 10336
350, 10, 11118
400, 1, 6275
400, 2, 8462
400, 3, 9742
400, 4, 10310
400, 5, 10708
400, 6, 10849
400, 7, 10983
400, 8, 10903
400, 9, 11140
400, 10, 11325
450, 1, 6200
450, 2, 8437
450, 3, 9660
450, 4, 10219
450, 5, 10507
450, 6, 10845
450, 7, 10759
450, 8, 11265
450, 9, 11091
450, 10, 11163
500, 1, 6001
500, 2, 8374
500, 3, 9536
500, 4, 10125
500, 5, 10551
500, 6, 10545
500, 7, 10862
500, 8, 9212
500, 9, 11105
500, 10, 10964
